,Wavelength,Aug03A_E1_PSPQ_3pc_as_cast(ListNo.:4) Incident angle:0
159,443.92199999999997,0.38666459999999997
160,445.161,0.3794575
161,446.399,0.37261059999999996
162,447.63800000000003,0.36613909999999994
163,448.876,0.3571435
164,450.115,0.34796940000000004
165,451.353,0.3393442
166,452.592,0.33040390000000003
167,453.83,0.3204728
168,455.069,0.30897090000000005
169,456.30699999999996,0.29880609999999996
170,457.546,0.2875434
171,458.784,0.2773895
172,460.023,0.2654632
173,461.26099999999997,0.2529417
174,462.5,0.24204479999999998
175,463.73800000000006,0.2287893
176,464.977,0.2174292
177,466.215,0.20493139999999999
178,467.454,0.1937889
179,468.69199999999995,0.1814488
180,469.931,0.16981529999999997
181,471.16900000000004,0.15818800000000002
182,472.408,0.1472358
183,473.64599999999996,0.1366022
184,474.885,0.1268201
185,476.12300000000005,0.11710630000000001
186,477.36199999999997,0.108787
187,478.6,0.09996000000000001
188,479.839,0.0936167
189,481.077,0.0858348
190,482.316,0.0813237
191,483.55400000000003,0.07520239999999999
192,484.793,0.0727095
193,486.031,0.0689232
194,487.27,0.0684533
195,488.50800000000004,0.06686610000000001
196,489.74699999999996,0.06701489999999999
197,490.985,0.0683146
198,492.224,0.0709143
199,493.462,0.0738175
200,494.70099999999996,0.0770042
201,495.939,0.0810911
202,497.17800000000005,0.0876498
203,498.416,0.0928184
204,499.655,0.09978569999999999
205,500.89300000000003,0.1060094
206,502.13199999999995,0.1145779
207,503.37,0.12249360000000001
208,504.60900000000004,0.1313441
209,505.847,0.1391317
210,507.086,0.1484471
211,508.324,0.1578394
212,509.56300000000005,0.1669109
213,510.801,0.1769177
214,512.04,0.1865805
215,513.278,0.1956609
216,514.5169999999999,0.2050011
217,515.755,0.2151435
218,516.994,0.2249804
219,518.232,0.23293609999999998
220,519.471,0.2427022
221,520.7090000000001,0.2521005
222,521.948,0.2617279
223,523.186,0.269808
224,524.425,0.27743470000000003
225,525.663,0.2854131
226,526.9019999999999,0.2944492
227,528.14,0.3018429
228,529.379,0.30856269999999997
229,530.617,0.3158487
230,531.856,0.32310959999999994
231,533.094,0.3301757
232,534.3330000000001,0.3353977
233,535.571,0.3412748
234,536.81,0.34764720000000005
235,538.048,0.3520659
236,539.2869999999999,0.35757849999999997
237,540.525,0.3622764
238,541.764,0.36682259999999994
239,543.002,0.37084629999999996
240,544.241,0.3748489
241,545.479,0.3792663
242,546.724,0.3823051
243,547.975,0.3850996
244,549.225,0.3871381
245,550.475,0.3908193
246,551.725,0.39354809999999996
247,552.976,0.39506440000000004
248,554.226,0.39554629999999996
249,555.476,0.3985787
250,556.727,0.3996548
251,557.977,0.40013540000000003
252,559.227,0.4002679
253,560.4780000000001,0.4016927
254,561.7280000000001,0.4024509
255,562.9780000000001,0.4026152
256,564.229,0.40096190000000004
257,565.479,0.40129190000000003
258,566.729,0.4010068
259,567.98,0.4006401
260,569.23,0.3983569
261,570.48,0.397646
262,571.731,0.3960317
263,572.981,0.3948027
264,574.231,0.3929022
265,575.481,0.39045949999999996
266,576.732,0.3888654
267,577.982,0.38593330000000003
268,579.232,0.3835932
269,580.4830000000001,0.3807893
