,Wavelength,Aug03A_E1_405(ListNo.:198) Incident angle:0
197,490.985,0.2386656
198,492.224,0.23235300000000003
199,493.462,0.22329989999999997
200,494.70099999999996,0.21764250000000002
201,495.939,0.2086131
202,497.17800000000005,0.2029963
203,498.416,0.19482349999999998
204,499.655,0.1906815
205,500.89300000000003,0.1833882
206,502.13199999999995,0.17919970000000002
207,503.37,0.17284059999999998
208,504.60900000000004,0.1701188
209,505.847,0.16536220000000001
210,507.086,0.16361989999999998
211,508.324,0.1595654
212,509.56300000000005,0.159618
213,510.801,0.1571068
214,512.04,0.1582789
215,513.278,0.1575868
216,514.5169999999999,0.16096470000000002
217,515.755,0.1612377
218,516.994,0.1653267
219,518.232,0.1675771
220,519.471,0.1742749
221,520.7090000000001,0.1775547
222,521.948,0.1856237
223,523.186,0.19062590000000001
224,524.425,0.1997683
